,occ_code,occ_title,o_group,tot_emp,area
22476,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,40030,34
22477,41-9011,Demonstrators and Product Promoters,detailed,2190,34
22478,41-9021,Real Estate Brokers,detailed,360,34
22479,41-9022,Real Estate Sales Agents,detailed,2240,34
22480,41-9031,Sales Engineers,detailed,1300,34
22481,41-9041,Telemarketers,detailed,3680,34
22482,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,**,34
22483,41-9099,"Sales and Related Workers, All Other",detailed,6310,34
22484,43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,40110,34
22485,43-2011,"Switchboard Operators, Including Answering Service",detailed,2010,34
22486,43-2099,"Communications Equipment Operators, All Other",detailed,30,34
22487,43-3011,Bill and Account Collectors,detailed,5070,34
22488,43-3021,Billing and Posting Clerks,detailed,18650,34
22489,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,41680,34
22490,43-3041,Gambling Cage Workers,detailed,80,34
22491,43-3051,Payroll and Timekeeping Clerks,detailed,3740,34
22492,43-3061,Procurement Clerks,detailed,3490,34
22493,43-3071,Tellers,detailed,12270,34
22494,43-3099,"Financial Clerks, All Other",detailed,1150,34
22495,43-4011,Brokerage Clerks,detailed,2450,34
22496,43-4021,Correspondence Clerks,detailed,100,34
22497,43-4031,"Court, Municipal, and License Clerks",detailed,4980,34
22498,43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,1630,34
22499,43-4051,Customer Service Representatives,detailed,68780,34
22500,43-4061,"Eligibility Interviewers, Government Programs",detailed,670,34
22501,43-4071,File Clerks,detailed,8240,34
22502,43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,3920,34
22503,43-4111,"Interviewers, Except Eligibility and Loan",detailed,6090,34
22504,43-4121,"Library Assistants, Clerical",detailed,2850,34
22505,43-4131,Loan Interviewers and Clerks,detailed,4450,34
22506,43-4141,New Accounts Clerks,detailed,1170,34
22507,43-4151,Order Clerks,detailed,4990,34
22508,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,5430,34
22509,43-4171,Receptionists and Information Clerks,detailed,56290,34
22510,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,2820,34
22511,43-4199,"Information and Record Clerks, All Other",detailed,3740,34
22512,43-5011,Cargo and Freight Agents,detailed,2380,34
22513,43-5021,Couriers and Messengers,detailed,1550,34
22514,43-5031,Public Safety Telecommunicators,detailed,4110,34
22515,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detailed,5740,34
22516,43-5041,"Meter Readers, Utilities",detailed,1120,34
22517,43-5051,Postal Service Clerks,detailed,2710,34
22518,43-5052,Postal Service Mail Carriers,detailed,10280,34
22519,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detailed,4730,34
22520,43-5061,"Production, Planning, and Expediting Clerks",detailed,8880,34
22521,43-5071,"Shipping, Receiving, and Inventory Clerks",detailed,21040,34
22522,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detailed,2880,34
22523,43-6011,Executive Secretaries and Executive Administrative Assistants,detailed,19140,34
22524,43-6012,Legal Secretaries and Administrative Assistants,detailed,8620,34
22525,43-6013,Medical Secretaries and Administrative Assistants,detailed,11450,34
22526,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detailed,62390,34
22527,43-9021,Data Entry Keyers,detailed,8120,34
22528,43-9022,Word Processors and Typists,detailed,3540,34
22529,43-9031,Desktop Publishers,detailed,**,34
22530,43-9041,Insurance Claims and Policy Processing Clerks,detailed,7020,34
22531,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detailed,3320,34
22532,43-9061,"Office Clerks, General",detailed,66760,34
22533,43-9071,"Office Machine Operators, Except Computer",detailed,2790,34
22534,43-9081,Proofreaders and Copy Markers,detailed,300,34
22535,43-9111,Statistical Assistants,detailed,30,34
22536,43-9199,"Office and Administrative Support Workers, All Other",detailed,5120,34
22537,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,180,34
22538,45-2011,Agricultural Inspectors,detailed,100,34
22539,45-2041,"Graders and Sorters, Agricultural Products",detailed,90,34
22540,45-2091,Agricultural Equipment Operators,detailed,170,34
22541,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detailed,3030,34
22542,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detailed,280,34
22543,45-2099,"Agricultural Workers, All Other",detailed,**,34
22544,45-4011,Forest and Conservation Workers,detailed,150,34
22545,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,7190,34
22546,47-2011,Boilermakers,detailed,310,34
22547,47-2021,Brickmasons and Blockmasons,detailed,1120,34
22548,47-2022,Stonemasons,detailed,340,34
22549,47-2031,Carpenters,detailed,15150,34
22550,47-2041,Carpet Installers,detailed,460,34
22551,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,**,34
22552,47-2043,Floor Sanders and Finishers,detailed,**,34
22553,47-2044,Tile and Stone Setters,detailed,1180,34
22554,47-2051,Cement Masons and Concrete Finishers,detailed,3170,34
22555,47-2061,Construction Laborers,detailed,24460,34
22556,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed,1360,34
22557,47-2072,Pile Driver Operators,detailed,60,34
22558,47-2073,Operating Engineers and Other Construction Equipment Operators,detailed,5130,34
22559,47-2081,Drywall and Ceiling Tile Installers,detailed,1970,34
22560,47-2082,Tapers,detailed,160,34
22561,47-2111,Electricians,detailed,16740,34
22562,47-2121,Glaziers,detailed,1000,34
22563,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detailed,440,34
22564,47-2132,"Insulation Workers, Mechanical",detailed,110,34
22565,47-2141,"Painters, Construction and Maintenance",detailed,4600,34
22566,47-2151,Pipelayers,detailed,230,34
22567,47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed,8780,34
22568,47-2171,Reinforcing Iron and Rebar Workers,detailed,460,34
22569,47-2181,Roofers,detailed,1850,34
22570,47-2211,Sheet Metal Workers,detailed,2350,34
22571,47-2221,Structural Iron and Steel Workers,detailed,1590,34
22572,47-2231,Solar Photovoltaic Installers,detailed,1050,34
22573,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,550,34
22574,47-3012,Helpers--Carpenters,detailed,880,34
22575,47-3013,Helpers--Electricians,detailed,1340,34
22576,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,**,34
22577,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed,520,34
22578,47-3019,"Helpers, Construction Trades, All Other",detailed,170,34
22579,47-4011,Construction and Building Inspectors,detailed,4450,34
22580,47-4021,Elevator and Escalator Installers and Repairers,detailed,730,34
22581,47-4031,Fence Erectors,detailed,540,34
22582,47-4041,Hazardous Materials Removal Workers,detailed,1290,34
22583,47-4051,Highway Maintenance Workers,detailed,4020,34
22584,47-4061,Rail-Track Laying and Maintenance Equipment Operators,detailed,600,34
22585,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detailed,890,34
22586,47-4090,Miscellaneous Construction and Related Workers,detailed,1050,34
22587,47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",detailed,1020,34
22588,47-5081,Helpers--Extraction Workers,detailed,**,34
22589,47-5097,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",detailed,500,34
22590,47-5098,"Underground Mining Machine Operators and Extraction Workers, All Other",detailed,90,34
22591,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,12800,34
22592,49-2011,"Computer, Automated Teller, and Office Machine Repairers",detailed,3280,34
22593,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,1060,34
22594,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,3740,34
22595,49-2091,Avionics Technicians,detailed,430,34
22596,49-2092,"Electric Motor, Power Tool, and Related Repairers",detailed,370,34
22597,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,550,34
22598,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,1750,34
22599,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,690,34
22600,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,**,34
22601,49-2097,Audiovisual Equipment Installers and Repairers,detailed,620,34
22602,49-2098,Security and Fire Alarm Systems Installers,detailed,2800,34
22603,49-3011,Aircraft Mechanics and Service Technicians,detailed,2150,34
22604,49-3021,Automotive Body and Related Repairers,detailed,4370,34
22605,49-3022,Automotive Glass Installers and Repairers,detailed,120,34
22606,49-3023,Automotive Service Technicians and Mechanics,detailed,15550,34
22607,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,8120,34
22608,49-3041,Farm Equipment Mechanics and Service Technicians,detailed,120,34
22609,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,2780,34
22610,49-3043,Rail Car Repairers,detailed,380,34
22611,49-3051,Motorboat Mechanics and Service Technicians,detailed,300,34
22612,49-3052,Motorcycle Mechanics,detailed,**,34
22613,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detailed,640,34
22614,49-3091,Bicycle Repairers,detailed,**,34
22615,49-3092,Recreational Vehicle Service Technicians,detailed,**,34
22616,49-3093,Tire Repairers and Changers,detailed,2600,34
22617,49-9011,Mechanical Door Repairers,detailed,710,34
22618,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,500,34
22619,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,10430,34
22620,49-9031,Home Appliance Repairers,detailed,1430,34
22621,49-9041,Industrial Machinery Mechanics,detailed,8480,34
22622,49-9043,"Maintenance Workers, Machinery",detailed,570,34
22623,49-9044,Millwrights,detailed,590,34
22624,49-9051,Electrical Power-Line Installers and Repairers,detailed,1260,34
22625,49-9052,Telecommunications Line Installers and Repairers,detailed,4610,34
22626,49-9061,Camera and Photographic Equipment Repairers,detailed,340,34
22627,49-9062,Medical Equipment Repairers,detailed,1320,34
22628,49-9063,Musical Instrument Repairers and Tuners,detailed,290,34
22629,49-9064,Watch and Clock Repairers,detailed,150,34
22630,49-9069,"Precision Instrument and Equipment Repairers, All Other",detailed,810,34
22631,49-9071,"Maintenance and Repair Workers, General",detailed,31070,34
22632,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,640,34
22633,49-9092,Commercial Divers,detailed,80,34
22634,49-9094,Locksmiths and Safe Repairers,detailed,600,34
22635,49-9096,Riggers,detailed,140,34
22636,49-9097,Signal and Track Switch Repairers,detailed,**,34
22637,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detailed,2330,34
22638,49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed,4730,34
22639,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,12880,34
22640,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,50,34
22641,51-2021,"Coil Winders, Tapers, and Finishers",detailed,240,34
22642,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",detailed,5260,34
22643,51-2031,Engine and Other Machine Assemblers,detailed,290,34
22644,51-2041,Structural Metal Fabricators and Fitters,detailed,890,34
22645,51-2090,Miscellaneous Assemblers and Fabricators,detailed,15090,34
22646,51-3011,Bakers,detailed,5020,34
22647,51-3021,Butchers and Meat Cutters,detailed,2730,34
22648,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detailed,2110,34
22649,51-3023,Slaughterers and Meat Packers,detailed,790,34
22650,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,680,34
22651,51-3092,Food Batchmakers,detailed,3660,34
22652,51-3093,Food Cooking Machine Operators and Tenders,detailed,1090,34
22653,51-3099,"Food Processing Workers, All Other",detailed,970,34
22654,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,1710,34
22655,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,340,34
22656,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,700,34
22657,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,3460,34
22658,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,420,34
22659,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,1460,34
22660,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,590,34
22661,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,300,34
22662,51-4041,Machinists,detailed,4390,34
22663,51-4051,Metal-Refining Furnace Operators and Tenders,detailed,150,34
22664,51-4052,"Pourers and Casters, Metal",detailed,50,34
22665,51-4061,"Model Makers, Metal and Plastic",detailed,100,34
22666,51-4071,Foundry Mold and Coremakers,detailed,370,34
22667,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,2140,34
22668,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,1010,34
22669,51-4111,Tool and Die Makers,detailed,780,34
22670,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,4350,34
22671,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,1110,34
22672,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,270,34
22673,51-4192,"Layout Workers, Metal and Plastic",detailed,**,34
22674,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,700,34
22675,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,**,34
22676,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,490,34
22677,51-5111,Prepress Technicians and Workers,detailed,1200,34
22678,51-5112,Printing Press Operators,detailed,3930,34
22679,51-5113,Print Binding and Finishing Workers,detailed,1920,34
22680,51-6011,Laundry and Dry-Cleaning Workers,detailed,6880,34
22681,51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,820,34
22682,51-6031,Sewing Machine Operators,detailed,3310,34
22683,51-6041,Shoe and Leather Workers and Repairers,detailed,**,34
22684,51-6051,"Sewers, Hand",detailed,130,34
22685,51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,670,34
22686,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,150,34
22687,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,350,34
22688,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,170,34
22689,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,**,34
22690,51-6092,Fabric and Apparel Patternmakers,detailed,330,34
22691,51-6093,Upholsterers,detailed,370,34
22692,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,690,34
22693,51-7011,Cabinetmakers and Bench Carpenters,detailed,1160,34
22694,51-7021,Furniture Finishers,detailed,370,34
22695,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,190,34
22696,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,800,34
22697,51-7099,"Woodworkers, All Other",detailed,80,34
22698,51-8012,Power Distributors and Dispatchers,detailed,210,34
22699,51-8013,Power Plant Operators,detailed,400,34
22700,51-8021,Stationary Engineers and Boiler Operators,detailed,1400,34
22701,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,2840,34
22702,51-8091,Chemical Plant and System Operators,detailed,320,34
22703,51-8092,Gas Plant Operators,detailed,260,34
22704,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,450,34
22705,51-8099,"Plant and System Operators, All Other",detailed,250,34
22706,51-9011,Chemical Equipment Operators and Tenders,detailed,3840,34
22707,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,880,34
22708,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,1160,34
22709,51-9022,"Grinding and Polishing Workers, Hand",detailed,450,34
22710,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,3600,34
22711,51-9031,"Cutters and Trimmers, Hand",detailed,420,34
22712,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,1890,34
22713,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,3610,34
22714,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,400,34
22715,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,13150,34
22716,51-9071,Jewelers and Precious Stone and Metal Workers,detailed,600,34
22717,51-9081,Dental Laboratory Technicians,detailed,400,34
22718,51-9082,Medical Appliance Technicians,detailed,940,34
22719,51-9083,Ophthalmic Laboratory Technicians,detailed,280,34
22720,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,14200,34
22721,51-9123,"Painting, Coating, and Decorating Workers",detailed,470,34
22722,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,2390,34
22723,51-9141,Semiconductor Processing Technicians,detailed,270,34
22724,51-9151,Photographic Process Workers and Processing Machine Operators,detailed,340,34
22725,51-9161,Computer Numerically Controlled Tool Operators,detailed,1820,34
22726,51-9162,Computer Numerically Controlled Tool Programmers,detailed,460,34
22727,51-9191,Adhesive Bonding Machine Operators and Tenders,detailed,140,34
22728,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,750,34
22729,51-9193,Cooling and Freezing Equipment Operators and Tenders,detailed,160,34
22730,51-9194,Etchers and Engravers,detailed,360,34
22731,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,1000,34
22732,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detailed,2260,34
22733,51-9198,Helpers--Production Workers,detailed,4080,34
22734,51-9199,"Production Workers, All Other",detailed,6090,34
22735,53-1041,Aircraft Cargo Handling Supervisors,detailed,100,34
22736,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,18780,34
22737,53-2012,Commercial Pilots,detailed,290,34
22738,53-2021,Air Traffic Controllers,detailed,190,34
22739,53-2022,Airfield Operations Specialists,detailed,160,34
22740,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,230,34
22741,53-3031,Driver/Sales Workers,detailed,9440,34
22742,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,51260,34
22743,53-3033,Light Truck Drivers,detailed,32030,34
22744,53-3052,"Bus Drivers, Transit and Intercity",detailed,7160,34
22745,53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity",detailed,23220,34
22746,53-3099,"Motor Vehicle Operators, All Other",detailed,1670,34
22747,53-4011,Locomotive Engineers,detailed,1540,34
22748,53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",detailed,190,34
22749,53-4031,Railroad Conductors and Yardmasters,detailed,890,34
22750,53-4041,Subway and Streetcar Operators,detailed,90,34
22751,53-4099,"Rail Transportation Workers, All Other",detailed,280,34
22752,53-5011,Sailors and Marine Oilers,detailed,640,34
22753,53-5021,"Captains, Mates, and Pilots of Water Vessels",detailed,560,34
22754,53-5022,Motorboat Operators,detailed,**,34
22755,53-6011,Bridge and Lock Tenders,detailed,100,34
22756,53-6021,Parking Attendants,detailed,5670,34
22757,53-6031,Automotive and Watercraft Service Attendants,detailed,11220,34
22758,53-6041,Traffic Technicians,detailed,80,34
22759,53-6051,Transportation Inspectors,detailed,660,34
22760,53-6061,Passenger Attendants,detailed,**,34
22761,53-6098,"Aircraft Service Attendants and Transportation Workers, All Other",detailed,480,34
22762,53-7011,Conveyor Operators and Tenders,detailed,70,34
22763,53-7021,Crane and Tower Operators,detailed,800,34
22764,53-7031,Dredge Operators,detailed,70,34
22765,53-7041,Hoist and Winch Operators,detailed,30,34
22766,53-7051,Industrial Truck and Tractor Operators,detailed,18480,34
22767,53-7061,Cleaners of Vehicles and Equipment,detailed,9800,34
22768,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,133980,34
22769,53-7063,Machine Feeders and Offbearers,detailed,1380,34
22770,53-7064,"Packers and Packagers, Hand",detailed,39160,34
22771,53-7065,Stockers and Order Fillers,detailed,65580,34
22772,53-7071,Gas Compressor and Gas Pumping Station Operators,detailed,160,34
22773,53-7072,"Pump Operators, Except Wellhead Pumpers",detailed,450,34
22774,53-7081,Refuse and Recyclable Material Collectors,detailed,1610,34
22775,53-7121,"Tank Car, Truck, and Ship Loaders",detailed,**,34
22776,53-7199,"Material Moving Workers, All Other",detailed,740,34
394638,00-0000,All Occupations,total,4087950,34
